"WROOT (S. LEVEL PUMPING STATION)",,,,,,,,,,,,
Grid ref,SE732017,Long,-0.897772,Lat,53.506903,,,,,,,
Station no,2586,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.49,1.57,0.49,1.01,1.38,3.40,1.22,1.87,1.75,4.43,,
February,2.52,0.41,1.36,1.85,1.51,1.07,1.44,2.79,0.15,1.74,,
March,2.61,1.89,0.53,1.46,2.22,0.85,1.43,1.64,0.69,1.04,,
April,0.62,0.57,1.53,0.18,1.00,1.53,0.14,0.32,1.90,0.69,,
May,3.79,1.04,1.23,2.82,2.61,0.47,1.18,1.72,0.41,0.59,,
June,0.94,2.05,1.28,1.56,2.69,3.54,1.98,4.85,0.82,0.54,,
July,0.96,1.46,1.97,1.96,0.62,3.65,4.43,6.14,1.23,2.90,,
August,4.56,0.93,2.51,5.34,0.46,4.81,3.14,2.79,0.48,2.33,,
September,1.40,2.25,0.93,1.55,0.98,1.70,3.51,1.51,0.02,2.16,,
October,1.20,2.21,1.86,3.21,1.52,1.12,1.25,1.55,1.93,4.69,,
November,4.70,1.66,1.10,4.15,1.24,0.58,2.13,0.81,2.52,3.30,,
December,1.05,1.40,1.18,2.04,1.96,1.51,1.77,2.79,2.50,2.13,,
Total,25.84,17.44,15.97,27.13,18.19,24.23,23.62,28.78,14.40,26.54,,
Calc annual,25.84,17.44,15.97,27.13,18.19,24.23,23.62,28.78,14.40,26.54,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
