"SWAY (GORDLETON)",,,,,,,,,,,,
Grid ref,SZ293965,Long,-1.585892,Lat,50.767352,,,,,,,
Station no,634,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.86,2.43,1.16,,,,,,,,,
February,6.19,0.65,1.54,,,,,,,,,
March,4.90,2.71,0.50,,,,,,,,,
April,2.40,1.35,1.72,,,,,,,,,
May,2.44,2.52,2.15,,,,,,,,,
June,1.10,1.27,2.19,,,,,,,,,
July,1.90,0.18,,,,,,,,,,
August,5.21,3.86,,,,,,,,,,
September,3.76,4.10,,,,,,,,,,
October,1.51,3.35,,,,,,,,,,
November,10.02,4.48,,,,,,,,,,
December,2.98,3.41,,,,,,,,,,
Total,46.27,30.31,,,,,,,,,,
Calc annual,46.27,30.31,9.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
