"WELLINGORE (THE GARDENS)",,,,,,,,,,,,
Grid ref,SK985560,Long,-0.530587,Lat,53.092131,,,,,,,
Station no,2545/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.09,,0.86,1.62,1.26,,,,,,,
February,3.00,,0.03,1.95,2.65,,,,,,,
March,3.53,,,1.21,1.30,,,,,,,
April,1.69,,,0.45,0.99,,,,,,,
May,3.42,,3.00,3.14,4.90,,,,,,,
June,1.27,,0.99,2.50,4.01,,,,,,,
July,0.70,,1.85,1.68,0.75,,,,,,,
August,4.42,,1.19,3.67,0.32,,,,,,,
September,0.86,,0.60,1.84,1.25,,,,,,,
October,1.49,,2.25,2.66,1.19,,,,,,,
November,4.88,,1.71,3.65,1.29,,,,,,,
December,1.20,,0.64,2.56,1.24,,,,,,,
Total,28.55,,,26.93,21.15,,,,,,,
Calc annual,28.55,0.00,13.12,26.93,21.15,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
