"BALLANTRAE (LAGAFATER LODGE)",,,,,,,,,,,,
Grid ref,NX138762,Long,-4.915972,Lat,55.045316,,,,,,,
Station no,5273,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.88,6.63,3.10,5.81,4.65,5.28,6.02,8.39,3.58,5.85,,
February,4.36,1.83,3.11,4.84,5.17,1.80,4.68,6.43,3.22,7.07,,
March,5.42,4.21,0.81,5.19,1.93,2.66,6.33,1.96,5.31,2.55,,
April,2.81,2.62,2.12,2.09,4.56,1.54,2.80,1.79,4.47,4.94,,
May,2.29,2.73,3.30,3.63,4.06,2.24,3.05,2.54,1.74,2.96,,
June,1.91,3.81,1.54,5.63,4.50,3.28,2.34,4.70,3.22,3.27,,
July,4.01,3.79,9.51,6.94,2.77,5.04,7.73,4.13,3.88,8.48,,
August,7.23,6.95,4.35,6.18,2.06,7.43,5.05,5.10,1.35,4.50,,
September,4.58,4.27,8.33,8.40,4.88,4.87,7.54,5.55,2.80,4.87,,
October,1.25,6.01,6.93,10.56,3.07,4.22,6.60,4.81,7.55,4.95,,
November,10.11,4.09,8.96,9.01,4.20,3.49,3.14,4.13,6.87,9.09,,
December,9.30,5.74,5.36,9.05,6.72,7.39,8.05,7.15,10.70,6.56,,
Total,59.15,52.68,57.42,77.33,48.57,49.24,63.33,56.68,54.69,65.09,,
Calc annual,59.15,52.68,57.42,77.33,48.57,49.24,63.33,56.68,54.69,65.09,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
