"TYNEMOUTH (TYNE PIER WORKS)",,,,,,,,,,,,
Grid ref,NZ373677,Long,-1.418412,Lat,55.002479,,,,,,,
Station no,3567,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.59,2.12,1.13,2.83,2.11,3.78,1.45,1.59,2.43,4.79,,
February,1.85,0.70,1.48,1.97,1.98,1.86,1.78,3.32,0.45,1.97,,
March,3.47,1.30,0.03,0.98,1.98,0.56,1.12,2.86,0.55,1.50,,
April,1.66,1.52,2.01,0.35,0.93,1.10,0.55,1.93,1.43,0.62,,
May,3.17,2.00,2.43,2.65,1.35,0.43,1.59,2.52,0.35,2.00,,
June,1.79,2.32,2.07,2.03,2.43,2.34,2.07,1.78,2.14,0.47,,
July,1.38,0.74,2.50,1.45,0.82,2.72,2.73,2.89,1.91,3.22,,
August,4.52,2.03,4.75,5.00,0.94,6.33,3.68,3.42,0.75,3.62,,
September,1.01,3.21,1.10,2.48,0.92,2.18,3.75,1.70,0.65,1.94,,
October,1.07,2.15,1.25,3.84,1.96,1.79,1.74,1.01,1.42,5.34,,
November,4.87,3.68,1.09,2.97,1.32,1.02,0.93,0.84,2.57,2.40,,
December,2.17,3.07,0.89,1.53,2.89,2.04,1.42,3.10,2.78,1.81,,
Total,28.55,24.84,20.73,28.08,19.63,26.15,22.81,26.96,17.43,29.68,,
Calc annual,28.55,24.84,20.73,28.08,19.63,26.15,22.81,26.96,17.43,29.68,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
