"TILSTON (ALDFORD BROOK)",,,,,,,,,,,,
Grid ref,SJ462513,Long,-2.804142,Lat,53.056231,,,,,,,
Station no,2792/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.45,,
February,,,,,,,,,,2.72,,
March,,,,,,,,,,1.48,,
April,,,,,,,,,,1.20,,
May,,,,,,,,,,2.04,,
June,,,,,,,,,,1.62,,
July,,,,,,,,,,2.87,,
August,,,,,,,,,,4.15,,
September,,,,,,,,,,4.25,,
October,,,,,,,,,,4.17,,
November,,,,,,,,,,4.88,,
December,,,,,,,,,,3.72,,
Total,,,,,,,,,,37.55,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.55,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
