"WITTERING (BONE MILL)",,,,,,,,,,,,
Grid ref,TF041018,Long,-0.464281,Lat,52.604022,,,,,,,
Station no,1142,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.93,1.10,0.77,0.79,2.05,2.95,0.66,2.13,3.82,3.79,,
February,3.17,0.34,1.61,1.78,2.20,0.31,2.23,3.31,0.09,1.84,,
March,2.85,2.15,0.76,1.78,2.13,0.57,1.73,1.26,2.10,1.92,,
April,1.64,1.39,1.80,0.26,0.75,0.98,0.25,0.62,1.95,0.36,,
May,3.10,1.83,1.78,2.25,3.25,0.64,1.36,2.06,0.71,1.17,,
June,1.08,1.24,2.09,2.24,2.35,2.59,2.03,4.82,0.39,1.77,,
July,0.60,0.20,1.54,1.50,0.52,2.19,2.66,2.37,1.91,3.29,,
August,3.84,3.42,2.38,4.70,0.73,4.93,2.34,2.28,1.02,3.31,,
September,1.46,1.87,0.86,1.84,1.47,1.54,4.83,1.86,,3.52,,
October,1.10,2.18,1.56,1.79,1.65,1.12,1.26,1.75,0.98,4.75,,
November,5.06,2.44,1.33,4.30,1.12,0.48,1.47,1.48,1.49,2.87,,
December,1.33,1.84,0.56,1.68,1.28,1.60,2.32,2.15,3.43,3.16,,
Total,27.16,20.00,17.04,24.91,19.50,19.90,23.14,26.09,17.89,31.75,,
Calc annual,27.16,20.00,17.04,24.91,19.50,19.90,23.14,26.09,17.89,31.75,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
