"LOCH LAGGAN (ARDVERIKIE)",,,,,,,,,,,,
Grid ref,NN508876,Long,-4.454983,Lat,56.955506,,,,,,,
Station no,5740,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.66,5.31,6.04,6.60,4.88,5.54,9.93,5.25,2.73,5.54,,
February,3.88,2.89,3.87,4.17,4.68,3.86,6.36,3.30,2.87,4.01,,
March,3.52,3.00,2.23,3.94,1.10,3.47,4.78,2.78,3.74,1.40,,
April,3.20,2.91,3.41,2.26,2.14,2.52,1.22,2.71,4.77,7.13,,
May,1.04,3.14,3.39,4.61,3.43,4.83,1.61,4.27,1.67,1.14,,
June,2.09,3.62,2.54,3.58,1.78,3.57,2.98,1.60,3.55,2.79,,
July,3.56,2.47,4.85,2.46,0.53,5.14,5.77,4.54,5.52,2.56,,
August,5.18,3.33,3.31,3.92,1.26,6.17,6.19,3.68,3.31,5.05,,
September,3.02,4.42,5.40,6.89,5.85,6.59,3.97,5.60,1.05,4.00,,
October,1.49,7.11,4.16,10.03,7.44,5.84,6.58,6.19,8.19,2.67,,
November,8.04,3.44,9.03,9.51,1.86,5.42,1.94,0.95,4.84,5.44,,
December,9.48,6.83,7.51,15.17,12.69,11.03,7.44,6.01,6.98,6.43,,
Total,50.16,48.47,55.74,73.14,47.64,63.98,58.77,46.88,49.22,48.16,,
Calc annual,50.16,48.47,55.74,73.14,47.64,63.98,58.77,46.88,49.22,48.16,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
