"EARLSBURN RESERVOIR",,,,,,,,,,,,
Grid ref,NS702893,Long,-4.087144,Lat,56.078839,,,,,,,
Station no,5353,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.13,4.76,2.61,6.30,3.85,5.20,10.20,6.63,1.93,5.81,,
February,3.49,1.71,2.66,5.78,3.62,2.00,5.57,3.20,2.52,5.86,,
March,5.01,6.19,1.67,4.76,2.51,3.19,6.47,2.94,3.88,3.05,,
April,4.23,2.65,3.52,2.41,2.65,1.10,2.65,1.94,4.47,5.80,,
May,2.51,2.34,4.50,6.14,4.51,3.62,3.60,4.85,1.67,4.27,,
June,2.88,5.06,2.29,4.08,2.60,4.77,2.62,5.20,2.84,3.15,,
July,5.12,3.01,7.30,3.26,1.58,6.76,6.15,7.76,6.33,5.66,,
August,8.85,7.71,4.05,6.09,1.50,7.71,5.55,6.52,1.97,4.94,,
September,5.02,4.02,7.09,8.21,5.43,7.39,4.35,5.43,1.53,4.30,,
October,1.31,6.47,4.10,11.53,4.84,5.89,5.71,6.40,5.25,5.85,,
November,10.09,2.41,11.20,8.40,3.21,1.47,2.97,2.24,7.41,8.12,,
December,9.36,5.09,7.78,9.61,8.20,8.95,8.61,8.57,9.95,6.60,,
Total,62.00,51.42,58.77,76.57,44.50,58.05,64.45,61.68,49.75,63.41,,
Calc annual,62.00,51.42,58.77,76.57,44.50,58.05,64.45,61.68,49.75,63.41,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
