"TARPORLEY (OAK MERE P.S.)",,,,,,,,,,,,
Grid ref,SJ577675,Long,-2.634719,Lat,53.202879,,,,,,,
Station no,2772/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.99,2.83,,,,,,,,,,
February,1.86,1.16,,,,,,,,,,
March,4.75,1.81,,,,,,,,,,
April,2.02,1.83,,,,,,,,,,
May,2.79,1.49,,,,,,,,,,
June,1.15,2.14,,,,,,,,,,
July,1.78,2.06,,,,,,,,,,
August,3.87,1.63,,,,,,,,,,
September,2.08,,,,,,,,,,,
October,1.12,,,,,,,,,,,
November,6.75,,,,,,,,,,,
December,3.91,,,,,,,,,,,
Total,34.07,,,,,,,,,,,
Calc annual,34.07,14.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
