"MORDIFORD (LARPORT)",,,,,,,,,,,,
Grid ref,SO572388,Long,-2.625483,Lat,52.045931,,,,,,,
Station no,2225/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.80,2.58,,,,,,,
February,,,,2.15,1.91,,,,,,,
March,,,,2.70,2.03,,,,,,,
April,,,,0.40,0.89,,,,,,,
May,,,,1.96,4.42,,,,,,,
June,,,,5.05,4.47,,,,,,,
July,,,,1.95,0.81,,,,,,,
August,,,,3.66,0.75,,,,,,,
September,,,,1.41,0.82,,,,,,,
October,,,,2.44,1.21,,,,,,,
November,,,,5.65,,,,,,,,
December,,,,2.17,,,,,,,,
Total,,,,31.34,,,,,,,,
Calc annual,0.00,0.00,0.00,31.34,19.89,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
