"BATH (HENRIETTA PARK)",,,,,,,,,,,,
Grid ref,ST754653,Long,-2.354900,Lat,51.386206,,,,,,,
Station no,1980,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.74,2.68,0.78,2.41,3.07,4.40,2.42,2.60,3.90,3.58,,
February,4.66,0.75,2.13,3.29,1.74,0.21,2.74,3.69,0.21,2.43,,
March,3.35,2.69,0.68,3.81,1.15,0.88,2.19,1.27,3.07,2.43,,
April,4.04,1.56,2.57,0.36,0.97,1.31,0.13,1.07,2.39,1.37,,
May,2.39,4.44,1.89,2.20,4.49,0.47,2.16,2.24,2.08,1.16,,
June,1.61,2.49,1.42,4.50,3.50,1.91,1.27,5.76,1.73,2.23,,
July,1.06,1.47,2.80,2.52,0.83,2.98,3.27,3.51,2.92,4.13,,
August,5.40,4.83,3.23,2.94,1.21,4.31,3.76,2.41,2.16,4.66,,
September,3.27,3.50,3.70,3.50,1.70,3.08,3.48,4.81,0.17,4.03,,
October,0.72,4.39,2.41,2.84,1.49,2.15,2.89,2.22,2.82,7.54,,
November,7.73,4.80,1.39,6.79,3.07,0.64,2.64,2.33,3.77,4.15,,
December,2.56,2.74,0.77,2.35,3.93,3.54,2.44,3.84,6.45,4.53,,
Total,39.53,36.34,23.77,37.51,27.15,25.88,29.39,35.75,31.67,42.24,,
Calc annual,39.53,36.34,23.77,37.51,27.15,25.88,29.39,35.75,31.67,42.24,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
