"DARTMOOR (STRANE VALLEY)",,,,,,,,,,,,
Grid ref,SX612720,Long,-3.959772,Lat,50.531266,,,,,,,
Station no,1703,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.72,7.32,1.99,3.47,7.79,7.50,9.96,,12.56,8.80,,
February,7.93,1.61,3.20,7.41,5.30,0.41,10.86,,0.50,10.66,,
March,8.20,7.68,1.69,6.47,2.74,4.01,8.83,,8.63,5.14,,
April,3.91,6.09,4.95,1.36,3.51,1.50,0.45,,7.28,6.45,,
May,4.17,4.03,6.33,7.50,8.62,1.57,4.57,,2.14,3.72,,
June,1.93,3.04,6.49,7.43,4.54,3.85,2.75,,2.17,3.21,,
July,2.50,2.34,7.18,6.82,2.00,6.53,7.19,,2.83,7.86,,
August,9.77,8.18,4.66,5.97,0.40,4.85,6.54,,3.18,5.81,,
September,7.64,6.09,5.91,9.23,3.52,14.09,7.75,,0.41,11.10,,
October,2.27,8.45,6.26,7.89,4.07,2.78,6.29,,8.08,15.00,,
November,11.96,6.97,4.97,13.14,7.74,3.62,4.03,,13.88,12.57,,
December,7.45,6.78,1.68,7.37,11.44,11.19,7.42,,16.62,7.38,,
Total,75.45,68.58,55.31,84.06,61.67,61.90,76.64,,78.28,97.70,,
Calc annual,75.45,68.58,55.31,84.06,61.67,61.90,76.64,0.00,78.28,97.70,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,0.00,0.00,,
