"MILNATHORT (OCHIL HILLS HOSPITAL)",,,,,,,,,,,,
Grid ref,NO097076,Long,-3.458979,Lat,56.252299,,,,,,,
Station no,5469,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.59,3.40,0.87,3.62,2.41,3.32,6.96,3.34,1.55,4.74,,
February,3.56,0.59,1.77,3.00,3.53,1.57,3.70,3.43,1.67,3.59,,
March,3.05,4.69,1.54,3.52,2.58,1.72,3.41,2.49,2.87,1.94,,
April,3.70,2.84,2.25,1.99,1.69,1.02,1.96,1.92,3.47,3.07,,
May,2.50,1.59,2.70,6.14,3.58,2.14,2.15,3.23,1.16,4.17,,
June,2.48,3.33,1.73,2.96,2.06,2.60,1.72,5.08,2.25,2.27,,
July,5.45,2.04,7.16,3.03,1.72,6.71,4.87,5.91,6.03,4.72,,
August,5.28,5.39,2.65,4.46,1.16,6.04,4.99,4.77,0.90,5.77,,
September,2.88,2.80,4.01,4.28,2.40,4.68,2.37,4.72,0.99,2.47,,
October,1.02,3.59,2.06,8.96,2.71,2.75,3.61,2.74,4.07,5.51,,
November,7.43,2.09,6.12,7.01,1.71,0.90,2.60,1.64,8.99,4.83,,
December,5.30,3.93,5.14,5.65,6.87,4.80,5.63,7.55,7.65,4.70,,
Total,48.24,36.28,38.00,54.62,32.42,38.25,43.97,46.82,41.60,47.78,,
Calc annual,48.24,36.28,38.00,54.62,32.42,38.25,43.97,46.82,41.60,47.78,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
