"DRIFFIELD AIRFIELD",,,,,,,,,,,,
Grid ref,TA004565,Long,-0.470004,Lat,53.994791,,,,,,,
Station no,3402/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.06,2.05,1.04,1.65,1.46,4.74,1.44,2.38,2.18,,,
February,3.01,0.78,2.19,2.28,1.88,2.18,2.62,4.93,0.35,,,
March,3.19,2.24,0.35,2.21,2.51,0.95,1.30,2.50,1.47,,,
April,1.33,1.31,2.61,0.30,0.69,1.08,0.41,1.04,2.36,,,
May,3.99,1.72,1.61,1.83,3.50,0.78,1.25,2.21,0.79,,,
June,1.59,1.98,2.09,1.54,2.29,2.70,1.96,3.76,1.55,,,
July,1.85,2.80,1.85,1.85,1.29,3.93,3.18,3.74,,,,
August,5.97,1.84,2.30,5.45,0.48,5.51,4.27,1.26,,,,
September,1.43,4.48,2.07,2.26,1.00,1.59,3.07,2.00,,,,
October,0.94,2.37,1.46,3.66,1.66,1.43,2.19,1.87,,,,
November,4.29,3.35,2.12,4.39,1.67,0.68,2.58,0.68,,,,
December,1.91,2.19,1.28,2.44,3.23,2.12,2.17,3.45,,,,
Total,31.56,27.11,20.97,29.86,21.66,27.69,26.44,29.82,,,,
Calc annual,31.56,27.11,20.97,29.86,21.66,27.69,26.44,29.82,8.70,0.00,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,,
