"LOOE (POLPERRO ROAD)",,,,,,,,,,,,
Grid ref,SX242535,Long,-4.472681,Lat,50.355096,,,,,,,
Station no,1928/8/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.47,4.80,1.47,,,,,,,,,
February,4.82,1.01,2.17,,,,,,,,,
March,6.13,4.93,1.04,,,,,,,,,
April,2.96,3.67,2.70,,,,,,,,,
May,2.97,2.92,3.72,,,,,,,,,
June,0.98,1.21,2.35,,,,,,,,,
July,1.34,1.15,4.09,,,,,,,,,
August,5.69,5.49,2.49,,,,,,,,,
September,4.54,4.39,3.30,,,,,,,,,
October,1.74,6.06,2.78,,,,,,,,,
November,5.99,4.39,3.16,,,,,,,,,
December,4.72,5.34,1.14,,,,,,,,,
Total,46.35,45.36,30.41,,,,,,,,,
Calc annual,46.35,45.36,30.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
