" HONITON (COPPER CASTLE)",,,,,,,,,,,,
Grid ref,ST170003,Long,-3.179048,Lat,50.796297,,,,,,,
Station no,1819/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.68,5.30,4.78,,
February,,,,,,,,4.45,0.52,5.68,,
March,,,,,,,,2.85,5.98,3.09,,
April,,,,,,,,1.07,4.09,4.41,,
May,,,,,,,,4.11,1.56,2.32,,
June,,,,,,,,4.17,1.79,1.19,,
July,,,,,,,,3.22,2.39,4.28,,
August,,,,,,,,4.62,1.65,5.30,,
September,,,,,,,,6.05,0.14,7.38,,
October,,,,,,,,3.79,3.75,13.14,,
November,,,,,,,,3.09,9.41,5.70,,
December,,,,,,,,6.73,10.83,4.34,,
Total,,,,,,,,47.83,47.41,61.61,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.83,47.41,61.61,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
