"LEIGH (BRICK HOUSE)",,,,,,,,,,,,
Grid ref,TQ849875,Long,0.665795,Lat,51.556076,,,,,,,
Station no,1273/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.62,1.42,0.73,1.56,1.88,3.02,0.71,,,,,
February,4.55,0.83,1.43,1.66,1.43,0.38,2.07,,,,,
March,1.87,2.47,0.26,2.01,1.02,0.69,0.85,,,,,
April,2.24,0.66,1.58,0.32,0.20,1.12,0.14,,,,,
May,2.45,1.11,1.32,2.06,4.21,0.35,1.21,,,,,
June,1.18,1.64,1.81,2.84,1.81,1.67,1.09,,,,,
July,2.94,0.75,3.16,2.49,0.32,2.97,2.57,,,,,
August,2.50,1.82,1.42,3.34,1.72,2.32,2.04,,,,,
September,3.32,4.69,2.05,1.34,2.49,1.65,2.54,,,,,
October,0.73,1.76,2.04,1.54,3.86,0.94,1.44,,,,,
November,2.92,3.88,0.86,3.14,0.45,0.39,2.31,,,,,
December,1.07,1.95,0.48,0.81,1.53,1.67,1.39,,,,,
Total,27.39,22.98,17.14,23.11,20.92,17.17,18.36,,,,,
Calc annual,27.39,22.98,17.14,23.11,20.92,17.17,18.36,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
