"BALDOCK (WILLIAM ROAD P.S.)",,,,,,,,,,,,
Grid ref,TL241325,Long,-0.194606,Lat,51.977116,,,,,,,
Station no,979/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,1.90,,
February,,,,,,,,,,1.79,,
March,,,,,,,,,,1.25,,
April,,,,,,,,,,0.53,,
May,,,,,,,,,,1.10,,
June,,,,,,,,,,2.13,,
July,,,,,,,,,,3.12,,
August,,,,,,,,,,2.44,,
September,,,,,,,,,,3.75,,
October,,,,,,,,,,5.31,,
November,,,,,,,,,,3.74,,
December,,,,,,,,,,3.28,,
Total,,,,,,,,,,30.34,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.34,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
