"DONYATT",,,,,,,,,,,,
Grid ref,ST340138,Long,-2.940314,Lat,50.919868,,,,,,,
Station no,2055/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.77,,
February,,,,,,,,,,4.81,,
March,,,,,,,,,,2.58,,
April,,,,,,,,,,3.23,,
May,,,,,,,,,,1.58,,
June,,,,,,,,,,0.94,,
July,,,,,,,,,,3.59,,
August,,,,,,,,,,3.57,,
September,,,,,,,,,,5.27,,
October,,,,,,,,,,10.72,,
November,,,,,,,,,,5.01,,
December,,,,,,,,,9.57,4.42,,
Total,,,,,,,,,,49.49,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.57,49.49,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
