"LOCHRUTTON (DUMFRIES W. W.)",,,,,,,,,,,,
Grid ref,NX901743,Long,-3.721788,Lat,55.050998,,,,,,,
Station no,5025,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.57,4.26,1.92,4.79,3.84,3.68,6.09,5.68,1.96,4.77,,
February,3.70,0.87,1.20,4.77,1.65,0.96,3.97,3.08,1.50,5.89,,
March,3.42,2.98,0.59,3.02,2.61,2.17,3.37,1.40,3.02,1.87,,
April,2.60,3.20,2.92,1.26,2.17,1.00,2.93,1.05,3.46,5.30,,
May,2.55,3.43,3.20,4.84,3.30,2.36,3.27,5.04,0.72,1.74,,
June,1.26,3.20,1.79,4.33,3.17,2.49,1.68,3.79,3.92,2.41,,
July,2.83,3.29,5.87,4.11,2.89,6.52,3.17,4.47,3.69,4.03,,
August,7.09,3.98,3.46,4.50,1.85,9.09,4.19,3.47,0.69,5.66,,
September,5.40,1.84,5.05,6.57,2.87,5.31,3.75,5.73,1.62,3.98,,
October,0.41,6.02,4.02,9.95,3.83,3.80,5.17,4.37,5.79,4.40,,
November,9.81,2.74,7.30,10.78,2.37,1.80,2.53,2.14,8.85,8.32,,
December,8.41,4.13,3.59,5.32,6.71,5.91,5.58,4.65,9.10,3.64,,
Total,54.05,39.94,40.91,64.24,37.26,45.09,45.70,44.87,44.32,52.01,,
Calc annual,54.05,39.94,40.91,64.24,37.26,45.09,45.70,44.87,44.32,52.01,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
