"HURN (BOURNEMOUTH AIRPORT)",,,,,,,,,,,,
Grid ref,SZ116978,Long,-1.836836,Lat,50.779663,,,,,,,
Station no,619/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.03,0.94,1.61,3.20,4.85,2.87,4.47,3.69,3.83,,
February,,0.56,1.44,2.94,1.70,0.05,3.96,2.69,0.29,2.94,,
March,,2.56,0.45,4.22,1.13,0.97,2.41,1.83,3.67,1.82,,
April,,1.80,2.11,0.14,0.46,1.61,0.22,0.79,2.50,1.85,,
May,,2.04,2.46,1.93,3.82,0.50,1.72,2.22,0.65,2.09,,
June,,0.99,1.83,2.68,2.70,2.21,1.04,3.95,1.43,2.63,,
July,,0.41,3.09,2.49,0.72,2.31,3.04,1.63,2.86,4.16,,
August,,2.67,1.35,3.18,0.67,3.82,2.89,3.52,2.21,4.67,,
September,,4.48,3.50,3.00,1.67,5.16,3.02,4.87,0.50,5.87,,
October,,4.78,3.04,2.91,4.89,1.93,2.33,3.52,3.65,,,
November,,4.16,1.60,5.48,3.27,0.83,2.57,2.72,4.34,,,
December,,2.91,0.70,2.84,5.42,5.67,2.92,4.35,7.88,,,
Total,,29.39,22.51,33.42,29.65,29.91,28.99,36.56,33.67,,,
Calc annual,0.00,29.39,22.51,33.42,29.65,29.91,28.99,36.56,33.67,29.86,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,,
