"BLETCHINGLEY (ST CATHERINE'S SCHOOL)",,,,,,,,,,,,
Grid ref,TQ331506,Long,-0.094716,Lat,51.239062,,,,,,,
Station no,117/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.01,4.75,2.19,3.27,,,,
February,,,,,1.58,1.03,4.39,2.34,,,,
March,,,,,1.00,0.99,1.51,1.99,,,,
April,,,,,0.28,1.91,0.27,1.10,,,,
May,,,,,4.19,0.20,1.64,2.03,,,,
June,,,,,1.94,3.12,1.30,4.15,,,,
July,,,,,0.23,3.72,3.56,,,,,
August,,,,,1.53,2.92,3.24,3.39,,,,
September,,,,2.42,2.22,2.90,2.35,3.08,,,,
October,,,,2.48,5.61,1.45,1.70,,,,,
November,,,,6.79,1.32,1.18,3.49,,,,,
December,,,,2.18,2.81,4.24,2.48,,,,,
Total,,,,13.87,25.72,28.41,28.12,,,,,
Calc annual,0.00,0.00,0.00,13.87,25.72,28.41,28.12,21.35,0.00,0.00,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
