"GLOUCESTER (LLANTHONY LOCK)",,,,,,,,,,,,
Grid ref,SO822183,Long,-2.259894,Lat,51.862994,,,,,,,
Station no,2169,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.00,1.97,0.66,1.48,2.03,2.77,,,,,,
February,2.81,0.55,1.37,2.21,1.47,,,,,,,
March,3.34,2.22,0.60,2.14,1.36,,,,,,,
April,2.56,2.27,2.59,0.28,0.58,,,,,,,
May,2.54,3.72,2.09,1.97,3.95,,,,,,,
June,0.99,3.26,1.55,3.60,3.83,,,,,,,
July,0.54,0.33,3.27,2.22,0.34,,,,,,,
August,3.89,4.01,3.04,2.95,0.52,,,,,,,
September,2.40,1.20,2.93,2.59,0.49,,,,,,,
October,0.66,3.00,1.73,3.20,1.00,,,,,,,
November,5.85,2.31,0.79,4.77,3.10,,,,,,,
December,1.99,2.06,0.80,1.57,2.08,,,,,,,
Total,30.57,26.90,21.42,28.98,20.75,,,,,,,
Calc annual,30.57,26.90,21.42,28.98,20.75,2.77,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
