"BIRMINGHAM WW (NANT-Y-CAR)",,,,,,,,,,,,
Grid ref,SN877617,Long,-3.646132,Lat,52.241993,,,,,,,
Station no,4215,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.70,10.00,3.10,6.00,5.60,10.00,9.00,8.50,10.70,11.90,,
February,8.40,6.00,4.50,6.90,4.10,1.00,8.20,11.50,1.20,11.40,,
March,9.10,4.44,6.20,6.50,5.60,5.30,6.60,2.20,5.90,3.70,,
April,7.40,3.50,4.90,2.00,5.10,2.50,0.50,2.20,7.40,6.20,,
May,4.40,4.80,4.30,5.10,8.30,1.65,3.90,5.60,2.20,2.80,,
June,1.60,4.80,3.10,8.50,8.40,4.40,2.80,5.50,4.45,3.75,,
July,2.90,3.40,8.00,7.15,1.15,5.50,9.10,6.60,4.80,7.40,,
August,7.50,7.40,5.55,7.40,1.95,10.40,10.50,5.45,0.90,5.25,,
September,6.30,5.50,7.10,8.00,4.95,7.60,13.50,10.30,0.50,6.60,,
October,2.20,8.20,4.75,13.00,6.15,5.40,7.20,8.10,11.40,8.50,,
November,14.80,5.80,8.50,14.30,5.40,5.00,4.60,5.00,9.00,14.30,,
December,10.50,7.90,3.20,9.95,9.10,8.90,6.70,6.70,14.50,11.00,,
Total,83.80,71.74,63.20,94.80,65.80,67.65,82.60,77.65,72.95,92.80,,
Calc annual,83.80,71.74,63.20,94.80,65.80,67.65,82.60,77.65,72.95,92.80,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
