"CUMBERNAULD HOUSE",,,,,,,,,,,,
Grid ref,NS772760,Long,-3.968660,Lat,55.961264,,,,,,,
Station no,5317/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.92,,
February,,,,,,,,,1.56,3.40,,
March,,,,,,,,,1.90,1.50,,
April,,,,,,,,,3.18,3.45,,
May,,,,,,,,,1.09,3.12,,
June,,,,,,,,,2.52,2.63,,
July,,,,,,,,5.42,6.64,3.66,,
August,,,,,,,,5.38,1.08,3.96,,
September,,,,,,,,3.76,1.23,2.50,,
October,,,,,,,,2.97,3.90,3.99,,
November,,,,,,,,2.23,5.89,5.38,,
December,,,,,,,,5.74,5.58,5.09,,
Total,,,,,,,,,,43.60,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.50,34.57,43.60,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
