"HUTTON (THE ORCHARD HOUSE)",,,,,,,,,,,,
Grid ref,ST351577,Long,-2.932582,Lat,51.314692,,,,,,,
Station no,2033/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,4.06,3.41,3.06,1.81,3.43,3.25,,
February,,,,,2.26,0.18,2.90,3.44,0.25,1.97,,
March,,,,,1.14,0.70,2.68,0.88,3.40,1.64,,
April,,,,0.48,1.59,1.12,0.12,1.05,2.35,2.31,,
May,,,,1.78,3.92,0.64,1.39,2.50,1.12,1.19,,
June,,,,3.60,3.51,1.89,1.73,3.98,1.28,2.26,,
July,,,,3.97,0.14,2.52,3.87,2.02,2.48,4.72,,
August,,,,3.12,0.37,4.03,3.98,2.21,2.17,4.55,,
September,,,,4.30,2.56,4.31,3.95,4.71,0.21,3.93,,
October,,,,3.89,1.36,2.01,2.97,3.22,3.49,9.56,,
November,,,,5.64,3.80,0.64,3.08,2.44,4.80,4.90,,
December,,,,2.67,3.95,3.38,2.11,4.38,6.11,4.12,,
Total,,,,,28.66,24.83,31.84,32.64,31.09,44.40,,
Calc annual,0.00,0.00,0.00,29.45,28.66,24.83,31.84,32.64,31.09,44.40,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
