"CASTLEROCK (CRAIGHEAD)",,,,,,,,,,,,
Grid ref,IC775359,Long,-6.784593,Lat,55.164395,,,,,,,
Station no,6248/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.69,6.24,1.51,,,,,,,,,
February,3.12,1.89,1.34,,,,,,,,,
March,2.62,1.79,0.91,,,,,,,,,
April,2.58,1.36,2.29,,,,,,,,,
May,1.33,1.53,1.89,,,,,,,,,
June,2.61,3.02,1.94,,,,,,,,,
July,3.24,2.29,5.18,,,,,,,,,
August,3.49,4.76,,,,,,,,,,
September,2.36,2.78,,,,,,,,,,
October,1.49,4.01,,,,,,,,,,
November,4.92,2.90,,,,,,,,,,
December,6.05,5.39,,,,,,,,,,
Total,36.50,37.96,,,,,,,,,,
Calc annual,36.50,37.96,15.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
