"FORDINGBRIDGE (DOCKENS)",,,,,,,,,,,,
Grid ref,SU196109,Long,-1.722670,Lat,50.897250,,,,,,,
Station no,627,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.62,2.46,0.83,1.82,3.19,,,,,,,
February,5.79,0.87,1.51,2.90,2.46,,,,,,,
March,3.98,3.10,0.64,4.10,1.22,,,,,,,
April,2.73,1.80,2.52,0.14,0.43,,,,,,,
May,2.60,1.82,2.21,1.94,3.83,,,,,,,
June,0.61,0.98,3.57,3.06,3.49,,,,,,,
July,1.76,0.43,3.79,2.95,0.77,,,,,,,
August,3.98,3.67,2.02,4.70,0.40,,,,,,,
September,4.32,4.34,2.90,2.98,1.79,,,,,,,
October,1.42,4.80,3.82,3.33,3.72,,,,,,,
November,-999.00,3.60,1.53,5.42,3.48,,,,,,,
December,2.87,2.20,0.67,3.30,5.01,,,,,,,
Total,43.53,30.07,26.01,36.64,29.79,,,,,,,
Calc annual,33.68,30.07,26.01,36.64,29.79,0.00,0.00,0.00,0.00,0.00,,
Difference,9.85,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
