"WEST ATTERBURY (CROSS HILL)",,,,,,,,,,,,
Grid ref,SP466356,Long,-1.322372,Lat,52.016875,,,,,,,
Station no,1064,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.74,1.90,1.05,0.96,2.20,3.97,1.40,2.88,3.75,3.79,,
February,3.17,0.63,1.47,2.28,1.35,0.43,3.24,2.85,0.03,2.20,,
March,3.73,2.95,0.83,2.45,1.49,0.64,2.30,1.46,2.83,0.92,,
April,2.77,1.95,1.95,0.31,0.86,0.90,0.55,0.77,2.15,0.72,,
May,3.47,2.57,1.24,2.42,4.07,0.62,1.34,2.43,0.46,1.45,,
June,1.60,1.83,1.78,2.46,2.79,2.48,1.96,2.96,1.31,4.15,,
July,1.75,0.37,2.88,2.52,0.17,2.76,5.01,3.19,1.99,3.59,,
August,5.27,3.40,3.04,3.52,0.21,3.77,4.97,2.52,0.78,4.18,,
September,2.29,1.38,1.81,3.09,1.29,2.06,2.99,3.57,0.10,4.06,,
October,0.88,3.66,2.86,2.59,1.32,1.69,1.38,3.16,2.46,5.41,,
November,5.84,2.91,1.19,6.06,1.80,0.73,1.69,2.44,2.06,3.81,,
December,2.18,2.68,0.84,2.18,1.90,3.05,2.20,2.63,4.74,2.74,,
Total,35.69,26.23,20.94,30.84,19.45,23.10,29.03,30.86,22.66,37.02,,
Calc annual,35.69,26.23,20.94,30.84,19.45,23.10,29.03,30.86,22.66,37.02,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
