"LITTLEPORT (HIGHFIELD HOUSE)",,,,,,,,,,,,
Grid ref,TL564864,Long,0.300180,Lat,52.453167,,,,,,,
Station no,1216,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.41,1.40,0.86,0.95,1.06,2.99,1.25,1.85,2.43,2.12,,
February,1.85,0.54,1.02,1.95,1.75,0.56,1.81,2.23,0.11,1.02,,
March,2.92,2.23,0.35,2.36,1.50,0.38,1.67,0.77,2.04,1.25,,
April,2.64,1.36,1.50,0.33,0.56,0.84,0.16,0.85,1.20,0.27,,
May,2.81,1.51,1.48,2.33,2.50,0.95,1.08,2.52,0.46,0.69,,
June,1.23,0.99,3.52,1.57,2.36,2.03,1.42,3.36,1.49,1.90,,
July,0.64,0.62,2.77,2.89,0.10,2.78,2.17,3.15,2.87,2.97,,
August,2.66,2.34,2.14,4.80,1.77,3.67,2.38,3.42,1.01,2.61,,
September,2.22,2.17,0.94,1.65,1.65,1.25,4.29,2.97,0.02,2.89,,
October,0.92,1.85,2.35,1.87,2.70,1.08,1.28,2.05,1.59,3.50,,
November,2.65,2.98,1.09,3.38,1.33,0.81,1.12,1.34,0.87,3.39,,
December,1.23,1.41,0.83,1.85,1.82,1.84,1.43,2.36,3.02,2.60,,
Total,24.18,19.40,18.85,25.93,19.10,19.18,20.06,26.87,17.11,25.21,,
Calc annual,24.18,19.40,18.85,25.93,19.10,19.18,20.06,26.87,17.11,25.21,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
