"LOCH BROOM (LECHMELM HOUSE)",,,,,,,,,,,,
Grid ref,NH161911,Long,-5.102323,Lat,57.871389,,,,,,,
Station no,5782/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,6.45,5.46,,,,
February,,,,,,,2.79,4.90,,,,
March,,,,,,,2.55,1.80,,,,
April,,,,,,,1.43,1.86,,,,
May,,,,,,,1.82,5.26,,,,
June,,,,,,,2.62,2.10,,,,
July,,,,,,,4.41,1.84,,,,
August,,,,,,,5.33,4.49,,,,
September,,,,,,,3.70,2.80,,,,
October,,,,,,,4.85,,,,,
November,,,,,,,2.13,,,,,
December,,,,,,7.30,9.85,,,,,
Total,,,,,,,47.93,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,7.30,47.93,30.51,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,,
