"EDINBURGH W W (GAMESHOPE FARM)",,,,,,,,,,,,
Grid ref,NT139176,Long,-3.362626,Lat,55.444672,,,,,,,
Station no,5070,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.44,9.00,2.40,5.16,8.40,4.59,11.50,10.00,2.50,8.50,,
February,6.36,2.25,3.02,6.21,3.00,2.07,7.20,6.30,2.50,9.10,,
March,5.64,6.00,0.99,5.16,3.10,3.30,7.50,3.10,6.50,2.40,,
April,7.78,5.00,5.25,2.00,2.10,0.90,3.50,2.50,8.00,8.50,,
May,3.00,3.00,5.50,8.00,6.10,4.60,3.50,6.00,2.60,4.50,,
June,4.23,4.20,2.65,7.06,3.80,5.50,2.50,4.20,4.90,4.00,,
July,5.50,4.32,11.00,6.54,2.30,7.80,6.40,6.80,6.20,6.00,,
August,11.00,6.74,6.02,6.52,2.20,10.30,7.50,7.90,2.80,4.30,,
September,9.20,3.78,9.00,11.09,5.70,8.00,5.20,7.60,1.70,5.90,,
October,0.97,8.68,5.54,14.50,5.60,5.60,7.50,6.20,6.50,6.30,,
November,16.00,5.90,10.07,15.20,4.70,3.20,4.30,2.00,19.50,14.50,,
December,13.75,7.70,7.53,10.51,8.14,12.00,10.00,8.00,9.00,7.50,,
Total,92.87,66.57,68.97,97.95,55.14,67.86,76.60,70.60,72.70,81.50,,
Calc annual,92.87,66.57,68.97,97.95,55.14,67.86,76.60,70.60,72.70,81.50,,
Difference,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,,
