"KIRKWALL (GRIMSETTER)",,,,,,,,,,,,
Grid ref,HY481077,Long,-2.903862,Lat,58.953348,,,,,,,
Station no,5822/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.48,3.65,4.24,2.65,3.82,6.42,4.52,5.79,5.55,3.13,,
February,3.73,2.58,2.52,3.58,3.73,1.69,2.60,4.45,1.29,3.45,,
March,3.80,4.02,1.91,2.69,2.19,2.19,4.47,2.63,1.49,1.59,,
April,3.38,1.22,2.53,1.65,1.48,1.27,1.71,1.34,2.40,2.77,,
May,0.20,2.47,2.39,2.47,2.02,2.10,1.93,3.52,1.81,1.20,,
June,1.10,2.99,1.60,4.41,0.80,2.74,2.29,0.74,2.50,2.83,,
July,3.22,1.65,2.65,2.42,0.24,3.68,3.32,2.12,2.28,1.27,,
August,3.88,6.67,2.89,2.04,1.31,2.87,4.64,2.42,1.71,1.91,,
September,1.46,3.57,3.69,4.61,4.95,2.74,3.49,1.18,1.25,2.14,,
October,2.16,4.04,2.36,8.02,5.07,4.07,5.20,4.67,5.49,3.26,,
November,7.62,4.04,5.50,6.65,1.91,3.57,3.37,2.21,5.63,3.65,,
December,5.34,3.69,2.92,5.87,7.77,6.40,5.92,5.53,4.70,3.83,,
Total,39.37,40.59,35.20,47.06,35.29,39.74,43.46,36.60,36.10,31.03,,
Calc annual,39.37,40.59,35.20,47.06,35.29,39.74,43.46,36.60,36.10,31.03,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
