"EAST HORSLEY (ETHANDOWN)",,,,,,,,,,,,
Grid ref,TQ092533,Long,-0.436110,Lat,51.268402,,,,,,,
Station no,211/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.56,2.42,1.17,1.36,3.03,4.28,1.97,2.19,2.93,2.94,,
February,7.73,0.79,1.63,2.57,1.72,0.42,3.93,2.25,0.05,2.34,,
March,4.03,2.61,0.42,2.45,1.35,0.75,1.09,1.96,2.65,1.59,,
April,3.12,1.52,2.46,0.28,0.16,1.27,0.22,1.10,2.80,0.68,,
May,2.91,2.91,2.30,2.12,3.97,0.16,1.34,2.70,0.59,1.93,,
June,0.99,1.44,1.38,3.23,2.04,1.97,1.23,3.65,0.48,1.84,,
July,1.71,0.63,3.34,3.09,0.28,4.54,2.92,2.25,2.15,2.56,,
August,3.60,2.81,1.90,2.72,1.01,2.80,2.94,3.42,2.00,3.10,,
September,3.37,3.04,2.93,2.46,1.70,2.42,2.77,4.13,0.11,2.50,,
October,0.78,3.35,3.37,2.23,3.92,1.60,1.72,3.05,3.13,7.62,,
November,8.53,3.37,1.94,5.46,1.72,0.84,3.39,2.18,4.30,4.94,,
December,3.38,2.79,0.81,2.58,2.76,4.19,2.32,3.03,5.15,3.44,,
Total,43.71,27.68,23.65,30.55,23.66,25.24,25.84,31.91,26.34,35.48,,
Calc annual,43.71,27.68,23.65,30.55,23.66,25.24,25.84,31.91,26.34,35.48,,
Difference,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,,
