"BURTON RESERVOIR (WINSHILL P.S)",,,,,,,,,,,,
Grid ref,SK264229,Long,-1.609850,Lat,52.803014,,,,,,,
Station no,2359,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.20,2.01,0.98,0.86,1.96,3.40,1.28,2.06,3.07,5.61,,
February,2.50,0.54,1.54,2.26,2.07,0.72,1.92,3.54,0.26,1.78,,
March,3.65,2.12,1.11,1.85,2.50,1.36,2.07,1.55,1.79,1.58,,
April,1.56,2.11,2.46,0.53,1.19,0.86,0.14,0.61,2.34,1.06,,
May,2.66,3.06,1.94,2.42,3.10,0.69,0.83,1.75,0.34,1.56,,
June,0.84,2.49,2.67,2.43,3.04,2.93,1.42,4.28,0.73,3.60,,
July,0.61,0.94,2.45,2.25,0.76,2.41,4.33,4.46,1.79,3.22,,
August,5.82,1.36,2.56,4.86,0.54,5.01,2.39,1.46,0.56,3.77,,
September,1.58,1.04,2.25,1.96,1.41,1.85,5.40,2.65,0.06,4.57,,
October,0.72,2.82,2.13,3.41,1.81,1.22,1.27,2.41,2.33,5.42,,
November,5.20,1.36,1.64,4.44,2.19,0.76,1.81,1.98,3.20,3.26,,
December,1.94,2.65,1.18,3.04,1.81,2.87,1.47,2.94,3.47,2.71,,
Total,29.28,22.50,22.91,30.31,22.38,24.08,24.33,29.69,19.94,38.14,,
Calc annual,29.28,22.50,22.91,30.31,22.38,24.08,24.33,29.69,19.94,38.14,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
