"SWANBOURNE HOUSE SCHOOL",,,,,,,,,,,,
Grid ref,SP799273,Long,-0.839151,Lat,51.938479,,,,,,,
Station no,1020,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.23,,1.02,0.88,2.25,3.71,1.70,2.87,3.60,3.06,,
February,3.09,,1.26,2.21,1.06,0.36,3.14,3.00,0.03,2.25,,
March,3.47,,0.38,2.79,1.90,0.84,1.91,1.59,2.70,0.92,,
April,2.55,,2.66,0.31,0.61,1.52,0.21,0.83,2.19,0.65,,
May,2.49,,1.84,2.58,4.71,0.28,1.88,1.99,0.79,1.42,,
June,0.95,,1.76,3.63,2.59,2.17,2.77,4.62,0.99,2.53,,
July,1.11,,3.14,2.47,0.58,2.29,2.37,2.37,2.41,3.38,,
August,4.94,,3.09,3.55,0.85,3.76,2.14,2.81,1.06,3.28,,
September,2.44,,1.25,2.39,1.11,2.24,3.11,3.26,0.14,3.39,,
October,1.18,,1.57,2.09,1.48,2.06,1.78,2.78,2.04,5.32,,
November,4.98,,2.37,4.06,2.39,1.56,1.71,2.12,2.24,3.04,,
December,1.69,,0.48,2.38,2.76,3.03,3.27,2.85,3.30,3.72,,
Total,31.12,,20.82,29.34,22.29,23.82,25.99,31.09,21.49,32.96,,
Calc annual,31.12,0.00,20.82,29.34,22.29,23.82,25.99,31.09,21.49,32.96,,
Difference,0.00,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
