"LOCH STRIVEN ( POWER STATION )",,,,,,,,,,,,
Grid ref,NS056839,Long,-5.119741,Lat,56.008501,,,,,,,
Station no,5432/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,5.65,6.58,11.21,9.70,3.13,5.66,,
February,,,,,4.93,2.23,5.34,5.86,2.97,6.66,,
March,,,,,3.03,4.28,8.16,1.65,6.75,3.89,,
April,,,,,6.73,3.19,2.83,3.57,6.61,7.61,,
May,,,,,5.64,5.37,2.66,6.62,2.09,4.44,,
June,,,,,5.08,4.32,4.31,3.61,3.82,3.81,,
July,,,,,1.38,7.74,7.28,4.79,8.95,6.01,,
August,,,,,1.86,7.69,6.40,7.60,4.03,4.63,,
September,,,,,8.53,6.34,5.58,6.36,3.61,4.29,,
October,,,,,7.49,5.43,10.39,6.93,7.93,5.83,,
November,,,,,4.56,5.96,3.30,3.62,8.74,10.53,,
December,,,,,11.55,14.84,10.08,9.53,14.79,9.23,,
Total,,,,,66.43,73.97,77.54,69.84,73.42,72.59,,
Calc annual,0.00,0.00,0.00,0.00,66.43,73.97,77.54,69.84,73.42,72.59,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
