"BALTASOUND",,,,,,,,,,,,
Grid ref,HP608093,Long,-0.886035,Lat,60.762151,,,,,,,
Station no,5834,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.00,5.00,4.70,3.90,3.37,6.15,6.46,6.19,4.45,2.91,,
February,7.00,2.50,4.50,5.00,2.33,2.12,5.92,3.09,1.82,7.02,,
March,2.70,6.00,2.00,2.64,1.51,2.07,5.34,1.80,1.64,1.79,,
April,4.80,2.20,3.17,2.57,3.02,2.45,2.23,1.90,3.40,3.54,,
May,0.50,4.30,1.89,1.64,1.94,2.82,2.85,4.30,1.27,1.87,,
June,1.70,4.00,0.66,3.46,1.75,3.20,2.55,0.40,2.76,2.25,,
July,4.40,2.00,3.82,2.77,0.75,3.25,2.60,2.53,2.80,2.38,,
August,5.80,4.50,2.70,2.71,0.75,2.52,2.27,3.08,2.48,2.59,,
September,3.00,4.30,3.70,5.06,4.59,2.01,5.65,4.61,1.55,3.10,,
October,3.00,4.00,2.94,5.86,6.35,4.96,7.01,4.74,3.71,2.96,,
November,6.50,3.30,6.65,6.25,3.73,3.81,4.86,3.17,5.94,5.40,,
December,7.40,5.00,4.83,6.25,5.07,5.41,4.87,5.32,8.13,5.37,,
Total,52.80,47.10,41.56,48.11,35.16,40.77,52.61,41.13,39.95,41.18,,
Calc annual,52.80,47.10,41.56,48.11,35.16,40.77,52.61,41.13,39.95,41.18,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
