"MAXWELTON HOUSE GARDENS",,,,,,,,,,,,
Grid ref,NX821896,Long,-3.853295,Lat,55.186576,,,,,,,
Station no,5030/51,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.59,,,
February,,,,,,,,,1.39,,,
March,,,,,,,,,3.44,,,
April,,,,,,,,,3.61,,,
May,,,,,,,,,1.20,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,4.36,,,,
November,,,,,,,,2.07,,,,
December,,,,,,,,5.80,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.23,12.23,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
