"DARTFORD (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,TQ553767,Long,0.234444,Lat,51.467962,,,,,,,
Station no,412,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.87,1.55,0.89,1.21,2.33,3.22,0.88,1.17,1.70,1.52,,
February,5.26,0.98,1.30,1.94,1.62,0.17,2.16,1.60,0.04,1.31,,
March,2.20,2.43,0.44,1.43,1.06,1.22,0.76,0.99,1.34,1.21,,
April,2.59,0.93,2.16,0.24,0.27,1.54,0.18,1.52,1.77,0.29,,
May,2.13,1.43,1.39,2.06,4.23,0.54,1.30,1.52,1.08,1.93,,
June,0.89,1.23,1.46,2.99,2.08,1.47,0.87,4.07,0.51,1.73,,
July,2.34,0.75,3.22,2.72,0.10,4.72,3.70,1.72,1.24,2.04,,
August,2.40,2.50,1.17,3.22,1.05,4.11,1.77,3.79,1.28,3.54,,
September,2.27,2.86,2.53,1.69,2.73,1.98,2.44,5.08,0.08,4.11,,
October,0.76,2.15,2.87,1.50,-999.00,1.39,1.37,2.30,1.62,5.02,,
November,2.90,3.84,1.07,3.16,0.58,0.64,2.66,1.46,2.79,3.18,,
December,1.54,1.82,0.71,1.07,1.76,1.86,1.54,2.35,2.94,1.88,,
Total,27.15,22.47,19.21,23.23,21.25,22.86,19.63,27.57,16.39,27.76,,
Calc annual,27.15,22.47,19.21,23.23,17.81,22.86,19.63,27.57,16.39,27.76,,
Difference,0.00,0.00,0.00,-0.00,3.44,0.00,0.00,-0.00,0.00,0.00,,
