"LOCH CRERAN (RUBHA GARBH)",,,,,,,,,,,,
Grid ref,NM933407,Long,-5.361077,Lat,56.512798,,,,,,,
Station no,5400/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.82,5.72,5.00,7.59,3.90,4.89,9.77,6.94,1.96,4.20,,
February,4.76,3.30,4.07,5.25,3.26,2.71,4.63,2.33,2.84,4.10,,
March,4.37,5.74,2.49,4.26,1.25,2.93,7.88,1.25,4.77,2.66,,
April,4.15,3.06,4.06,2.67,4.91,2.40,3.00,3.60,4.71,4.95,,
May,0.65,1.80,5.08,3.91,2.88,5.16,2.23,4.82,1.77,3.03,,
June,2.89,4.22,0.91,4.75,4.43,4.54,4.29,2.01,3.70,3.96,,
July,4.30,3.82,8.35,4.39,0.85,6.58,6.50,3.31,7.63,4.10,,
August,5.09,4.82,6.98,5.26,1.96,4.82,5.60,5.55,3.73,3.56,,
September,5.31,4.56,8.64,8.22,7.69,6.73,3.89,5.22,2.87,3.57,,
October,4.00,6.03,4.80,12.15,7.00,5.33,9.95,8.42,7.05,2.42,,
November,6.99,2.48,12.16,10.04,2.84,5.93,3.12,2.51,7.88,6.44,,
December,11.66,9.88,7.08,10.84,9.58,10.85,7.96,5.63,9.60,8.53,,
Total,61.99,55.43,69.62,79.33,50.55,62.87,68.82,51.59,58.51,51.52,,
Calc annual,61.99,55.43,69.62,79.33,50.55,62.87,68.82,51.59,58.51,51.52,,
Difference,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
