"SION MILLS (SION HOUSE)",,,,,,,,,,,,
Grid ref,IH339932,Long,-7.473776,Lat,54.785709,,,,,,,
Station no,6254,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.82,5.87,1.22,3.62,3.50,3.18,6.02,3.56,2.41,4.08,,
February,3.50,2.44,1.51,4.47,2.77,2.48,2.73,3.87,0.95,3.23,,
March,3.12,2.37,1.23,3.87,1.08,1.54,3.71,1.27,2.56,2.02,,
April,2.16,1.29,2.70,1.39,1.83,1.88,1.31,1.37,3.50,3.07,,
May,1.34,1.88,2.51,3.94,4.11,1.71,1.93,2.77,1.25,2.05,,
June,3.04,2.55,1.80,4.02,4.54,3.21,1.34,4.55,2.00,2.80,,
July,2.97,1.08,5.55,5.21,0.96,4.77,4.34,4.27,3.15,5.59,,
August,4.53,5.29,4.52,3.62,0.88,5.44,4.20,4.91,1.51,4.74,,
September,2.38,1.88,4.95,5.46,3.53,3.77,5.98,3.25,1.42,3.28,,
October,2.69,4.52,3.07,6.17,3.09,3.06,4.37,3.03,5.17,3.16,,
November,4.22,2.88,4.59,5.07,2.54,2.72,1.17,2.40,5.74,3.59,,
December,5.92,5.07,4.08,6.06,5.08,4.36,5.00,4.97,6.51,5.53,,
Total,40.69,37.12,37.73,52.90,33.91,38.12,42.10,40.22,36.17,43.14,,
Calc annual,40.69,37.12,37.73,52.90,33.91,38.12,42.10,40.22,36.17,43.14,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
