"BRAEMAR (DERRY LODGE)",,,,,,,,,,,,
Grid ref,NO037932,Long,-3.587749,Lat,57.019839,,,,,,,
Station no,5629,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.15,3.30,2.22,3.01,2.08,2.93,3.74,,,,,
February,4.39,3.05,2.26,3.64,6.24,2.41,3.55,,,,,
March,2.57,1.60,0.87,2.33,5.32,2.66,2.31,,,,,
April,4.30,1.86,2.42,0.94,1.08,1.79,0.84,,,,,
May,1.67,3.17,2.76,4.35,2.17,1.38,1.71,,,,,
June,1.56,2.67,3.38,1.97,1.26,3.04,1.64,,,,,
July,2.70,1.37,3.39,2.31,0.71,3.71,3.48,,,,,
August,3.01,2.25,2.49,2.77,1.20,6.86,4.19,,,,,
September,1.56,2.78,3.54,3.44,1.84,4.25,3.30,,,,,
October,1.24,5.99,1.39,6.07,4.32,4.06,,,,,,
November,7.64,3.57,4.17,6.59,1.85,1.96,,,,,,
December,4.25,7.94,4.79,6.23,6.39,6.04,,,,,,
Total,39.04,39.55,33.68,43.65,34.46,41.09,,,,,,
Calc annual,39.04,39.55,33.68,43.65,34.46,41.09,24.76,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
