"BURNHAM MARKET",,,,,,,,,,,,
Grid ref,TF833422,Long,0.726665,Lat,52.945872,,,,,,,
Station no,1448/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.91,2.85,1.15,,,,,,,,,
February,2.22,1.14,1.23,,,,,,,,,
March,3.53,2.23,1.14,,,,,,,,,
April,2.94,1.40,2.20,,,,,,,,,
May,3.81,2.28,1.31,,,,,,,,,
June,1.31,0.84,3.38,,,,,,,,,
July,1.61,0.92,2.01,,,,,,,,,
August,3.41,2.07,1.91,,,,,,,,,
September,2.59,2.85,1.13,,,,,,,,,
October,0.70,1.84,2.52,,,,,,,,,
November,3.02,3.85,1.39,,,,,,,,,
December,1.42,2.37,0.92,,,,,,,,,
Total,29.47,24.64,20.29,,,,,,,,,
Calc annual,29.47,24.64,20.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
