"CHRISTCHURCH (AIR COMPRESSOR STATION)",,,,,,,,,,,,
Grid ref,SZ157924,Long,-1.778911,Lat,50.731008,,,,,,,
Station no,618,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.83,1.82,0.91,1.48,3.33,4.30,2.59,3.67,2.78,3.36,,
February,5.00,0.42,1.18,2.96,1.74,0.15,3.89,2.47,0.34,2.60,,
March,3.54,2.50,0.55,3.97,1.03,0.72,2.26,1.56,2.87,1.68,,
April,2.25,1.70,1.83,0.21,0.54,1.51,0.12,0.46,1.94,1.54,,
May,2.58,1.81,1.85,2.20,4.39,0.49,1.23,1.79,0.77,1.64,,
June,1.14,1.19,1.27,2.49,2.64,1.75,1.65,3.73,1.20,2.44,,
July,1.33,0.26,2.60,2.97,1.19,2.17,3.04,2.42,2.89,2.93,,
August,4.06,2.18,1.63,2.70,0.79,2.76,1.74,3.14,1.96,4.24,,
September,2.82,4.35,3.28,2.60,1.50,4.53,2.75,3.91,0.14,6.18,,
October,1.69,3.96,2.46,2.25,4.41,1.50,2.13,3.25,3.32,8.61,,
November,8.58,4.31,1.54,6.48,2.42,0.75,2.55,2.92,3.30,5.28,,
December,2.39,3.08,0.75,2.76,5.45,5.52,1.99,3.62,6.26,2.83,,
Total,38.21,27.58,19.85,33.07,29.43,26.15,25.94,32.94,27.77,43.33,,
Calc annual,38.21,27.58,19.85,33.07,29.43,26.15,25.94,32.94,27.77,43.33,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
