"MONIAIVE (HUNTER'S LODGE)",,,,,,,,,,,,
Grid ref,NX806901,Long,-3.877051,Lat,55.190707,,,,,,,
Station no,5030/5/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,4.22,6.65,7.34,,,,
February,,,,,,0.70,4.99,4.42,,,,
March,,,,,,2.59,3.95,1.07,,,,
April,,,,,,1.35,2.29,1.18,,,,
May,,,,,,2.51,3.51,4.15,,,,
June,,,,,,2.92,1.59,3.89,,,,
July,,,,,,5.32,3.02,4.83,,,,
August,,,,,,8.11,3.39,3.99,,,,
September,,,,,,5.03,3.47,-999.00,,,,
October,,,,,4.09,3.07,4.51,,,,,
November,,,,,3.25,1.59,2.52,,,,,
December,,,,,7.27,7.23,5.80,,,,,
Total,,,,,,44.64,45.69,,,,,
Calc annual,0.00,0.00,0.00,0.00,14.61,44.64,45.69,30.87,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,,
