"LOUGHGALL (THE MANOR FARM)",,,,,,,,,,,,
Grid ref,IH239751,Long,-7.630705,Lat,54.623675,,,,,,,
Station no,6194/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,-999.00,2.87,1.61,2.87,,
February,,,,,,,,3.45,0.84,2.38,,
March,,,,,,,,1.02,2.07,1.78,,
April,,,,,,,-999.00,1.10,2.45,1.98,,
May,,,,,,,2.50,2.22,1.37,3.45,,
June,,,,,,,1.13,4.99,1.92,2.12,,
July,,,,,,,3.67,5.47,3.14,3.62,,
August,,,,,,,4.76,3.54,0.97,4.11,,
September,,,,,,,3.20,3.23,1.32,2.80,,
October,,,,,,,3.26,2.94,3.53,5.06,,
November,,,,,,,0.94,1.64,2.51,3.05,,
December,,,,,,,4.44,4.51,3.74,2.99,,
Total,,,,,,,-999.00,36.98,25.47,36.21,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,23.90,36.98,25.47,36.21,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-1022.90,0.00,-0.00,0.00,,
