"PRESTBURY (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SJ897783,Long,-2.156014,Lat,53.301548,,,,,,,
Station no,2727/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.99,3.48,1.35,2.68,2.28,4.13,1.65,3.04,2.95,4.51,,
February,2.59,1.55,1.43,2.45,1.69,0.80,1.88,4.26,0.46,1.96,,
March,4.52,1.93,2.55,2.46,2.20,1.17,2.74,1.84,1.62,0.80,,
April,2.26,3.20,2.63,0.67,2.05,1.87,0.30,1.08,2.69,1.48,,
May,1.66,1.78,1.69,3.73,2.70,1.01,1.90,2.86,0.90,1.77,,
June,1.51,2.47,2.52,3.09,2.71,2.77,1.74,6.08,1.86,1.61,,
July,3.57,2.76,4.51,4.22,0.83,5.24,5.15,3.77,3.01,4.24,,
August,4.19,1.50,4.82,4.55,1.08,8.46,3.28,3.63,0.65,4.62,,
September,2.04,3.48,2.32,3.85,1.73,2.06,6.42,4.16,0.15,3.48,,
October,0.92,3.02,1.89,5.78,2.09,2.25,3.45,3.15,3.06,3.86,,
November,7.55,2.17,2.73,5.44,1.64,1.32,1.47,1.29,3.88,5.04,,
December,4.63,3.20,1.68,4.89,3.35,2.99,3.41,3.19,4.98,3.12,,
Total,38.43,30.54,30.12,43.81,24.35,34.07,33.39,38.35,26.21,36.49,,
Calc annual,38.43,30.54,30.12,43.81,24.35,34.07,33.39,38.35,26.21,36.49,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
