"BILLINGBOROUGH",,,,,,,,,,,,
Grid ref,TF112342,Long,-0.348514,Lat,52.893758,,,,,,,
Station no,2533/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.10,1.84,0.86,1.12,2.73,4.75,1.08,3.00,3.22,4.16,,
February,3.85,0.22,1.67,2.50,2.84,0.70,3.40,3.46,0.25,2.26,,
March,3.51,3.08,0.74,1.36,2.15,0.77,1.35,1.78,2.21,1.37,,
April,2.03,1.23,1.66,0.71,0.99,1.47,0.14,0.41,2.09,0.33,,
May,4.16,2.53,2.87,3.09,3.12,0.97,1.82,2.14,0.53,0.87,,
June,1.20,1.34,2.93,2.00,3.26,2.79,1.23,4.85,0.58,0.64,,
July,1.00,0.14,1.40,1.53,0.25,3.40,3.40,4.06,2.08,3.24,,
August,4.31,2.32,2.05,3.67,0.75,4.72,2.17,2.89,1.08,2.93,,
September,1.07,1.26,0.72,2.27,0.78,1.41,4.87,1.53,0.10,2.75,,
October,0.88,3.39,2.33,2.73,1.36,0.92,1.05,1.53,1.05,6.14,,
November,4.75,2.38,1.86,4.69,1.33,0.70,1.88,1.21,2.16,3.42,,
December,1.51,1.95,0.70,2.34,1.62,1.65,2.12,3.20,3.51,4.14,,
Total,31.37,21.68,19.79,28.01,21.18,24.25,24.51,30.06,18.86,32.25,,
Calc annual,31.37,21.68,19.79,28.01,21.18,24.25,24.51,30.06,18.86,32.25,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
