"TOMATIN (DALMIGAVIE LODGE)",,,,,,,,,,,,
Grid ref,NH753234,Long,-4.070306,Lat,57.284147,,,,,,,
Station no,5701,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.91,6.69,2.05,3.71,1.96,4.61,5.38,4.24,5.61,5.71,,
February,4.18,2.09,3.11,3.14,4.29,4.57,4.52,5.51,1.17,4.97,,
March,3.02,1.96,1.43,3.03,2.85,2.17,3.32,4.20,1.76,1.09,,
April,5.86,1.63,3.42,1.77,0.72,2.28,1.22,2.74,3.19,3.63,,
May,0.99,1.77,3.57,4.56,4.56,1.85,1.82,2.92,1.53,1.21,,
June,3.48,2.80,4.13,3.66,1.73,3.31,2.55,2.04,2.79,2.64,,
July,3.75,1.34,3.95,3.77,0.72,6.71,5.63,4.23,2.89,2.66,,
August,5.27,4.62,3.40,2.94,0.52,8.66,6.57,5.12,1.32,8.37,,
September,1.26,3.45,1.84,4.29,3.03,5.00,2.62,3.57,0.44,3.45,,
October,1.25,4.78,2.08,6.44,7.31,4.50,2.92,3.26,4.61,4.77,,
November,5.18,3.68,4.17,4.09,1.62,3.14,2.87,1.16,4.50,2.14,,
December,5.16,4.60,4.11,9.69,8.60,5.74,4.48,4.59,3.74,3.76,,
Total,44.31,39.41,37.26,51.09,37.91,52.54,43.90,43.58,33.55,44.40,,
Calc annual,44.31,39.41,37.26,51.09,37.91,52.54,43.90,43.58,33.55,44.40,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
