"SCARBOROUGH (OSGODBY)",,,,,,,,,,,,
Grid ref,TA056840,Long,-0.381118,Lat,54.240813,,,,,,,
Station no,3462,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.76,2.35,1.21,1.47,0.93,3.97,1.10,2.84,2.63,4.68,,
February,2.70,0.79,1.50,2.17,1.65,2.02,2.03,3.82,0.38,1.93,,
March,3.13,1.77,0.19,1.87,2.44,0.88,0.91,2.15,1.55,1.31,,
April,1.65,0.97,2.12,0.25,0.71,0.81,0.58,1.33,2.90,0.68,,
May,4.09,1.26,1.61,1.66,2.56,0.69,0.76,2.34,0.63,0.90,,
June,1.34,1.50,2.60,1.14,1.21,2.89,1.88,4.16,2.45,0.24,,
July,2.16,2.43,1.59,1.26,0.79,3.88,4.16,2.25,2.29,2.81,,
August,6.16,1.33,2.71,4.50,0.72,5.72,2.78,1.88,0.33,3.24,,
September,0.77,5.23,1.04,1.43,1.54,1.14,2.44,1.30,0.34,2.54,,
October,0.42,2.21,1.61,3.33,2.49,1.13,2.55,1.52,1.55,8.02,,
November,4.43,4.78,1.96,4.82,1.19,1.47,2.38,0.53,3.96,4.08,,
December,2.00,2.41,0.95,2.04,4.40,2.63,1.75,3.02,3.84,3.20,,
Total,30.61,27.03,19.09,25.94,20.63,27.23,23.32,27.14,22.85,33.63,,
Calc annual,30.61,27.03,19.09,25.94,20.63,27.23,23.32,27.14,22.85,33.63,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
