"CRAIGENDUNTON RESERVOIR",,,,,,,,,,,,
Grid ref,NS522455,Long,-4.352187,Lat,55.680411,,,,,,,
Station no,5239,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.60,5.98,3.90,5.77,3.49,3.74,6.10,5.58,2.44,5.20,,
February,4.56,2.72,1.98,3.90,2.89,2.39,3.67,4.24,3.18,4.48,,
March,4.81,3.22,1.10,3.73,1.64,3.53,5.75,1.60,2.81,2.25,,
April,4.02,3.42,3.01,2.68,3.87,1.57,3.56,2.30,2.40,4.21,,
May,1.82,2.40,3.34,3.57,3.92,3.62,3.25,2.22,1.39,2.13,,
June,2.84,3.55,1.98,6.28,3.58,3.63,3.50,3.11,2.40,2.70,,
July,5.20,4.55,6.63,5.64,1.40,5.93,5.01,4.97,8.36,4.17,,
August,6.58,4.76,4.73,6.53,2.07,5.83,4.76,6.14,1.53,4.32,,
September,4.62,3.58,6.27,7.96,5.79,4.86,4.59,4.10,1.71,4.56,,
October,2.10,4.39,3.89,11.83,3.99,4.82,6.21,4.54,7.20,3.58,,
November,7.25,3.32,10.56,7.17,2.39,2.23,2.80,1.85,7.94,5.74,,
December,9.11,5.46,6.50,9.19,9.53,6.82,6.24,5.79,8.34,7.84,,
Total,58.51,47.35,53.89,74.25,44.56,48.97,55.44,46.44,49.70,51.18,,
Calc annual,58.51,47.35,53.89,74.25,44.56,48.97,55.44,46.44,49.70,51.18,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
