"LOCH TURRET (ALLT NAN COLUNAN BURN)",,,,,,,,,,,,
Grid ref,NN780289,Long,-3.980187,Lat,56.436461,,,,,,,
Station no,5545/6/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.30,4.10,2.00,6.30,4.25,4.50,9.60,7.10,3.50,7.40,,
February,6.45,2.10,2.00,6.70,3.20,2.50,8.40,4.50,2.60,8.35,,
March,6.00,5.40,2.20,7.65,4.10,4.35,8.55,4.50,4.80,4.25,,
April,6.50,3.90,3.00,1.35,3.00,1.83,2.65,3.55,5.50,6.35,,
May,2.00,3.40,3.14,6.00,2.55,3.30,6.70,4.35,1.70,4.35,,
June,2.50,3.50,2.60,3.75,2.85,3.35,2.75,4.75,2.95,3.40,,
July,3.60,3.40,6.70,3.80,1.65,5.80,6.35,5.47,7.40,5.35,,
August,7.55,6.45,2.90,4.23,1.65,7.60,6.65,5.48,3.20,7.00,,
September,4.80,2.60,7.25,6.55,3.90,8.35,4.30,6.55,1.65,6.75,,
October,1.75,5.90,3.50,9.00,4.80,5.10,3.60,4.95,,8.75,,
November,11.73,3.40,,,3.30,2.45,4.40,2.75,16.30,13.25,,
December,,4.40,,,12.00,11.05,7.80,8.50,13.25,8.00,,
Total,,48.55,,,47.25,60.18,71.75,62.45,62.85,83.20,,
Calc annual,60.18,48.55,35.29,55.33,47.25,60.18,71.75,62.45,62.85,83.20,,
Difference,NaN,0.00,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,,
