"EAST DEREHAM (THE LABORATORY)",,,,,,,,,,,,
Grid ref,TF994132,Long,0.948271,Lat,52.679790,,,,,,,
Station no,1421/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.20,3.01,1.22,1.90,2.08,2.97,1.93,2.68,3.38,3.69,,
February,3.16,0.89,1.62,2.44,2.74,1.83,2.87,3.79,0.24,1.93,,
March,3.77,3.07,1.52,2.57,1.82,0.62,2.51,1.24,1.67,0.98,,
April,3.54,1.68,2.29,0.35,0.48,1.52,0.38,1.29,1.93,0.88,,
May,2.53,2.72,1.50,1.90,2.75,0.88,1.59,2.94,1.12,0.61,,
June,1.28,0.91,3.55,2.20,2.31,2.89,3.15,3.51,1.25,1.58,,
July,1.93,1.50,2.29,2.57,0.32,2.56,3.95,4.35,3.43,3.15,,
August,3.36,2.28,2.37,3.97,0.86,4.05,2.97,2.38,2.31,2.76,,
September,3.06,2.77,1.32,2.03,2.29,1.67,4.16,2.81,0.10,3.33,,
October,0.81,2.81,2.36,2.42,3.43,2.79,1.47,1.94,2.31,4.37,,
November,3.60,3.67,1.16,4.32,1.11,1.39,1.77,1.33,2.07,4.67,,
December,1.34,2.23,1.31,2.01,1.80,2.10,2.71,2.98,3.78,4.31,,
Total,31.58,27.54,22.51,28.68,21.99,25.27,29.46,31.24,23.59,32.26,,
Calc annual,31.58,27.54,22.51,28.68,21.99,25.27,29.46,31.24,23.59,32.26,,
Difference,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,,
