"MARHAM AIRFIELD",,,,,,,,,,,,
Grid ref,TF739087,Long,0.569123,Lat,52.648155,,,,,,,
Station no,1466/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.97,1.02,1.59,1.83,3.10,1.57,-999.00,-999.00,3.02,,
February,,0.77,1.31,2.01,2.88,1.18,2.58,-999.00,-999.00,1.37,,
March,,2.65,1.11,2.35,1.56,0.71,2.00,-999.00,-999.00,1.11,,
April,,1.46,1.77,0.21,0.69,0.80,0.16,-999.00,-999.00,0.65,,
May,2.08,1.63,1.57,3.21,2.15,1.03,0.90,-999.00,-999.00,0.50,,
June,0.93,0.74,4.05,1.67,1.79,2.00,1.60,-999.00,-999.00,1.57,,
July,1.05,0.52,3.02,2.60,0.20,3.55,2.74,-999.00,-999.00,2.76,,
August,2.87,2.90,2.44,4.82,0.75,3.97,2.24,-999.00,-999.00,3.31,,
September,2.34,2.32,0.93,2.24,1.42,1.31,3.92,-999.00,-999.00,2.22,,
October,0.70,2.11,2.39,2.21,2.70,1.61,1.30,-999.00,-999.00,3.65,,
November,3.16,3.13,1.47,3.71,1.06,1.16,1.13,-999.00,-999.00,3.33,,
December,,1.81,0.89,1.96,1.20,1.40,1.85,-999.00,-999.00,2.79,,
Total,,22.01,21.97,28.58,18.23,21.82,21.99,-999.00,-999.00,26.28,,
Calc annual,13.13,22.01,21.97,28.58,18.23,21.82,21.99,0.00,0.00,26.28,,
Difference,NaN,0.00,-0.00,-0.00,0.00,0.00,-0.00,-999.00,-999.00,0.00,,
