"WEST CALDER (WESTWOOD)",,,,,,,,,,,,
Grid ref,NT014643,Long,-3.576924,Lat,55.861763,,,,,,,
Station no,5145/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.96,3.74,0.96,3.40,2.34,2.21,4.81,3.64,1.19,2.87,,
February,2.47,0.65,1.31,1.87,1.50,1.66,2.78,1.89,1.14,2.71,,
March,2.31,1.45,0.59,1.90,1.60,3.35,2.67,1.07,1.28,1.54,,
April,2.95,1.57,2.86,1.31,1.24,0.53,1.60,2.21,2.39,1.82,,
May,2.92,1.29,2.04,4.36,3.03,1.39,1.82,3.73,1.20,1.44,,
June,1.72,2.88,1.28,2.22,1.50,3.50,-999.00,3.38,2.55,1.05,,
July,3.01,2.41,3.98,1.76,2.12,4.58,3.50,5.78,3.54,2.45,,
August,4.63,3.84,1.17,5.28,1.52,6.35,4.13,4.85,0.70,3.51,,
September,2.00,2.48,2.52,3.64,2.07,3.61,2.27,3.71,0.74,1.98,,
October,0.79,3.39,1.69,6.43,1.85,3.18,2.80,1.85,3.72,3.22,,
November,4.74,2.34,5.23,3.14,1.22,1.21,1.99,1.58,6.38,3.37,,
December,4.39,3.02,3.99,5.06,5.14,4.77,4.16,5.08,3.68,3.88,,
Total,34.89,29.06,27.62,40.37,25.63,36.34,-999.00,38.77,28.51,29.84,,
Calc annual,34.89,29.06,27.62,40.37,25.13,36.34,32.53,38.77,28.51,29.84,,
Difference,0.00,-0.00,-0.00,-0.00,0.50,0.00,-1031.53,0.00,0.00,0.00,,
