"DARTMOOR (BEARDOWN HILL)",,,,,,,,,,,,
Grid ref,SX605767,Long,-3.971405,Lat,50.573341,,,,,,,
Station no,1710/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.00,10.00,2.55,4.50,9.80,10.55,13.60,12.60,15.45,8.04,,
February,10.79,2.35,4.47,9.30,7.50,0.62,12.46,11.24,1.03,10.90,,
March,10.68,8.70,2.56,8.33,3.60,4.66,11.05,3.40,10.25,5.55,,
April,5.44,7.10,5.36,1.51,4.16,1.90,0.57,2.30,7.78,6.95,,
May,3.85,4.00,7.40,10.05,8.85,1.95,5.67,8.53,2.23,3.23,,
June,3.60,3.62,5.89,7.16,5.19,5.01,2.70,5.88,2.75,4.48,,
July,3.68,2.92,8.85,9.00,2.32,7.83,10.50,7.13,3.95,7.97,,
August,14.17,10.10,6.39,7.38,0.85,8.22,8.63,11.15,3.50,6.50,,
September,8.41,6.83,8.45,10.35,4.95,13.13,11.40,11.42,0.76,10.50,,
October,3.08,11.05,6.40,11.07,5.01,5.05,7.86,9.82,8.21,14.83,,
November,14.46,8.40,6.95,16.90,8.90,5.05,4.28,8.40,16.63,15.20,,
December,10.23,10.41,2.40,9.40,14.85,10.91,8.50,7.92,17.74,9.66,,
Total,99.39,85.48,67.67,104.95,75.98,74.88,97.22,99.79,90.28,103.81,,
Calc annual,99.39,85.48,67.67,104.95,75.98,74.88,97.22,99.79,90.28,103.81,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
