"GLEN GAVIN (GAIRNSHIEL LODGE)",,,,,,,,,,,,
Grid ref,NJ295008,Long,-3.165062,Lat,57.092764,,,,,,,
Station no,5636,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.39,2.73,1.08,2.49,1.12,5.27,3.23,2.46,3.85,5.50,,
February,4.33,2.61,1.44,3.26,5.51,2.55,2.42,4.74,0.38,3.58,,
March,2.36,2.00,0.59,3.55,1.71,1.91,2.01,4.27,1.26,1.68,,
April,3.90,1.66,2.58,1.51,0.79,2.22,1.43,2.44,1.97,2.16,,
May,1.62,2.53,1.83,5.96,2.86,0.81,1.84,3.11,0.98,0.78,,
June,1.66,2.17,3.65,1.66,0.76,3.07,2.47,4.08,2.08,1.31,,
July,3.09,1.64,4.60,3.36,0.78,4.68,5.97,6.22,3.20,2.89,,
August,3.62,3.39,1.79,3.24,1.06,5.36,4.07,2.72,1.24,4.62,,
September,1.42,2.34,2.63,2.52,2.16,4.31,3.33,2.51,0.61,2.87,,
October,1.73,4.45,1.34,5.43,4.46,3.77,1.31,2.64,5.16,10.67,,
November,8.44,3.91,2.11,4.44,1.62,1.52,2.92,0.76,6.60,3.67,,
December,2.79,4.17,2.96,4.82,6.37,4.69,4.14,5.40,5.25,2.19,,
Total,38.35,33.60,26.60,42.24,29.20,40.16,35.14,41.35,32.58,41.92,,
Calc annual,38.35,33.60,26.60,42.24,29.20,40.16,35.14,41.35,32.58,41.92,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
