"CASTLE KENNEDY (LOCHINCH)",,,,,,,,,,,,
Grid ref,NX113607,Long,-4.944839,Lat,54.905272,,,,,,,
Station no,5001,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.31,4.18,1.79,4.53,4.22,4.95,4.55,6.73,2.47,5.46,,
February,3.19,0.80,1.67,4.82,4.09,1.08,3.74,5.35,2.06,4.74,,
March,3.72,2.78,0.45,4.58,1.90,1.81,5.12,1.68,3.45,3.05,,
April,1.73,1.55,1.71,1.19,2.72,1.44,1.60,1.54,3.29,3.64,,
May,2.83,2.56,2.65,2.73,3.63,1.46,2.38,2.56,0.93,2.15,,
June,1.92,3.00,1.14,4.00,3.80,2.80,1.86,4.10,2.58,2.93,,
July,2.42,2.49,7.08,3.94,1.78,4.13,6.02,4.40,2.52,5.83,,
August,5.32,5.21,2.75,4.02,1.62,8.05,3.21,5.23,0.85,4.51,,
September,3.12,3.34,6.28,5.89,3.17,4.37,5.60,5.33,2.68,4.40,,
October,0.64,4.25,4.75,7.55,2.39,3.22,4.96,3.95,6.64,5.75,,
November,9.05,3.09,5.85,7.83,3.45,2.36,2.62,3.55,5.31,7.54,,
December,6.26,4.83,4.02,6.17,5.43,5.12,6.28,5.91,9.12,4.99,,
Total,45.51,38.08,40.14,57.25,38.20,40.79,47.94,50.33,41.90,54.99,,
Calc annual,45.51,38.08,40.14,57.25,38.20,40.79,47.94,50.33,41.90,54.99,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
