"HEAVITREE (BARRACK ROAD)",,,,,,,,,,,,
Grid ref,SX934918,Long,-3.511333,Lat,50.716022,,,,,,,
Station no,1770/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.27,2.65,0.45,,,,,,,,,
February,4.79,0.67,1.47,,,,,,,,,
March,3.98,2.49,0.74,,,,,,,,,
April,1.79,2.82,2.91,,,,,,,,,
May,2.54,2.66,2.54,,,,,,,,,
June,0.94,1.78,1.74,,,,,,,,,
July,2.11,1.04,2.66,,,,,,,,,
August,2.68,4.88,2.20,,,,,,,,,
September,3.69,2.71,2.98,,,,,,,,,
October,1.31,4.97,,,,,,,,,,
November,6.13,3.83,,,,,,,,,,
December,2.66,3.09,,,,,,,,,,
Total,35.89,33.59,,,,,,,,,,
Calc annual,35.89,33.59,17.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
