"STRATH CARRON (DEANICH LODGE)",,,,,,,,,,,,
Grid ref,NH368839,Long,-4.748871,Lat,57.814837,,,,,,,
Station no,5777/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,8.47,5.61,5.28,,
February,,,,,,,,8.54,3.14,5.35,,
March,,,,,,,,2.89,1.83,1.51,,
April,,,,,,,,4.13,6.46,5.62,,
May,,,,,,,,7.57,2.83,1.34,,
June,,,,,,,,4.29,4.19,4.87,,
July,,,,,,,,2.00,6.55,3.73,,
August,,,,,,,,4.55,4.31,8.07,,
September,,,,,,,,3.30,1.85,2.66,,
October,,,,,,,,6.98,8.35,5.83,,
November,,,,,,,,2.83,7.78,3.72,,
December,,,,,,,,7.51,6.71,9.36,,
Total,,,,,,,,63.06,59.61,57.34,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.06,59.61,57.34,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
