"GOUDHURST (BEDGEBURY PARK GARDENS)",,,,,,,,,,,,
Grid ref,TQ717341,Long,0.449882,Lat,51.080530,,,,,,,
Station no,322,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.99,3.18,1.30,2.33,4.65,5.84,3.08,3.67,3.07,3.14,,
February,7.18,1.28,1.58,2.43,2.40,1.21,5.17,2.97,0.08,2.80,,
March,4.15,3.51,0.23,3.53,1.85,1.16,1.38,1.91,2.36,2.96,,
April,2.65,1.90,2.43,0.66,0.28,1.03,0.36,1.59,3.10,1.03,,
May,2.60,1.77,1.47,2.37,5.09,0.46,1.39,2.25,1.30,2.48,,
June,1.56,0.98,2.42,3.62,2.07,2.34,1.45,4.41,0.79,1.69,,
July,2.22,0.79,3.20,3.58,1.21,4.34,4.64,2.46,2.17,4.18,,
August,4.24,4.17,2.05,3.36,1.45,5.27,2.75,5.03,1.20,5.38,,
September,4.12,4.03,4.59,2.84,2.95,3.20,3.38,3.34,0.15,3.60,,
October,1.77,3.83,3.51,3.94,5.64,1.65,1.63,3.93,3.51,8.65,,
November,6.01,4.85,2.00,7.32,1.46,1.13,3.69,1.60,5.50,7.83,,
December,3.80,3.68,0.93,2.14,3.47,5.03,2.83,4.37,8.20,4.87,,
Total,44.29,33.97,25.71,38.12,32.52,32.66,31.75,37.53,31.43,48.61,,
Calc annual,44.29,33.97,25.71,38.12,32.52,32.66,31.75,37.53,31.43,48.61,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
