"BEDFORD (BEDFORD PARK)",,,,,,,,,,,,
Grid ref,TL051510,Long,-0.465428,Lat,52.147297,,,,,,,
Station no,1180,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.22,1.12,0.76,0.93,1.74,3.43,0.66,2.09,3.37,2.14,,
February,2.79,0.51,1.79,1.66,1.03,0.55,2.07,2.18,0.10,2.05,,
March,2.60,3.02,0.41,2.05,1.33,0.58,1.21,1.60,2.39,1.70,,
April,2.72,1.53,1.89,0.34,0.46,0.93,0.19,0.72,1.45,0.26,,
May,2.21,1.80,1.40,3.01,3.70,0.50,1.14,1.34,0.61,1.24,,
June,0.79,0.86,2.79,2.74,1.82,2.48,1.66,4.87,0.79,2.07,,
July,1.62,0.50,1.93,2.20,0.53,3.70,2.23,2.34,2.63,3.83,,
August,2.88,3.49,3.40,3.77,0.63,3.62,2.16,2.57,0.58,2.82,,
September,1.59,3.04,0.70,1.64,1.55,1.66,3.53,2.29,0.04,3.62,,
October,0.94,2.48,1.75,1.85,1.55,1.35,1.23,1.71,1.74,3.94,,
November,3.60,2.50,1.19,3.37,1.03,0.58,1.01,1.59,1.51,2.78,,
December,1.13,1.82,0.33,2.08,1.92,2.10,2.14,2.24,2.94,3.00,,
Total,25.09,22.67,18.34,25.64,17.29,21.48,19.23,25.54,18.15,29.45,,
Calc annual,25.09,22.67,18.34,25.64,17.29,21.48,19.23,25.54,18.15,29.45,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
